iter	Passed	Remaining
0	12	6273
1	24	6034
2	46	7680
3	63	7915
4	93	9274
5	123	10136
6	160	11281
7	183	11298
8	205	11217
9	220	10809
10	234	10438
11	248	10099
12	262	9842
13	276	9594
14	290	9388
15	310	9404
16	334	9495
17	369	9888
18	397	10051
19	418	10037
20	452	10332
21	469	10198
22	483	10021
23	497	9876
24	513	9763
25	529	9655
26	554	9711
27	579	9767
28	614	9984
29	646	10122
30	668	10121
31	698	10213
32	713	10094
33	725	9948
34	737	9798
35	749	9654
36	761	9528
37	775	9430
38	791	9358
39	821	9448
40	842	9433
41	877	9564
42	910	9677
43	945	9796
44	987	9985
45	1002	9893
46	1038	10004
47	1056	9944
48	1123	10339
49	1177	10593
50	1228	10814
51	1316	11339
52	1349	11384
53	1409	11639
54	1493	12085
55	1545	12257
56	1583	12305
57	1620	12351
58	1654	12364
59	1704	12498
60	1743	12550
61	1763	12459
62	1791	12427
63	1823	12423
64	1842	12332
65	1872	12312
66	1924	12435
67	2006	12745
68	2055	12840
69	2077	12759
70	2090	12632
71	2119	12597
72	2140	12522
73	2164	12463
74	2208	12515
75	2238	12491
76	2293	12599
77	2321	12558
78	2363	12594
79	2386	12528
80	2442	12636
81	2493	12710
82	2520	12664
83	2567	12713
84	2584	12620
85	2607	12554
86	2660	12628
87	2727	12770
88	2742	12666
89	2783	12678
90	2796	12566
91	2834	12570
92	2848	12464
93	2864	12372
94	2899	12361
95	2913	12261
96	2928	12166
97	2968	12175
98	2983	12082
99	3017	12069
100	3034	11986
101	3045	11883
102	3071	11840
103	3091	11773
104	3108	11695
105	3147	11700
106	3160	11609
107	3174	11521
108	3194	11459
109	3207	11371
110	3221	11288
111	3256	11281
112	3268	11195
113	3282	11115
114	3302	11055
115	3326	11011
116	3339	10931
117	3354	10860
118	3384	10835
119	3397	10759
120	3438	10769
121	3457	10712
122	3470	10636
123	3492	10591
124	3516	10548
125	3528	10473
126	3541	10400
127	3568	10371
128	3580	10298
129	3593	10226
130	3606	10157
131	3630	10122
132	3643	10052
133	3655	9984
134	3668	9918
135	3685	9863
136	3704	9814
137	3716	9750
138	3729	9685
139	3751	9647
140	3764	9584
141	3776	9520
142	3788	9458
143	3805	9408
144	3825	9366
145	3837	9305
146	3850	9245
147	3865	9193
148	3882	9146
149	3895	9088
150	3907	9032
151	3921	8978
152	3944	8945
153	3956	8889
154	3968	8832
155	3980	8778
156	4004	8748
157	4017	8695
158	4029	8642
159	4041	8588
160	4054	8537
161	4073	8498
162	4085	8447
163	4097	8394
164	4119	8364
165	4138	8327
166	4151	8277
167	4163	8227
168	4177	8181
169	4200	8154
170	4212	8104
171	4225	8057
172	4240	8015
173	4258	7978
174	4271	7932
175	4282	7884
176	4296	7839
177	4322	7819
178	4334	7772
179	4346	7726
180	4371	7704
181	4383	7659
182	4396	7615
183	4407	7570
184	4425	7535
185	4441	7498
186	4454	7455
187	4466	7411
188	4479	7371
189	4497	7338
190	4509	7295
191	4519	7250
192	4531	7208
193	4550	7177
194	4562	7135
195	4574	7095
196	4587	7056
197	4607	7028
198	4621	6989
199	4634	6951
200	4647	6913
201	4674	6896
202	4689	6860
203	4702	6823
204	4715	6786
205	4744	6770
206	4757	6734
207	4770	6696
208	4782	6659
209	4794	6620
210	4806	6583
211	4818	6545
212	4831	6509
213	4842	6472
214	4854	6435
215	4867	6399
216	4878	6362
217	4890	6325
218	4901	6289
219	4913	6254
220	4925	6218
221	4937	6182
222	4949	6148
223	4960	6112
224	4971	6076
225	4983	6042
226	4995	6007
227	5007	5973
228	5019	5939
229	5030	5905
230	5042	5871
231	5053	5837
232	5064	5803
233	5076	5770
234	5087	5736
235	5097	5702
236	5109	5669
237	5120	5636
238	5132	5604
