season,driver_id,driver_code,driver_number,given_name,family_name,driver_name,date_of_birth,nationality,url
2023,albon,ALB,23,Alexander,Albon,Alexander Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon
2023,alonso,ALO,14,Fernando,Alonso,Fernando Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
2023,bottas,BOT,77,Valtteri,Bottas,Valtteri Bottas,1989-08-28,Finnish,http://en.wikipedia.org/wiki/Valtteri_Bottas
2023,gasly,GAS,10,Pierre,Gasly,Pierre Gasly,1996-02-07,French,http://en.wikipedia.org/wiki/Pierre_Gasly
2023,hamilton,HAM,44,Lewis,Hamilton,Lewis Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
2023,hulkenberg,HUL,27,Nico,Hülkenberg,Nico Hülkenberg,1987-08-19,German,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg
2023,lawson,LAW,30,Liam,Lawson,Liam Lawson,2002-02-11,New Zealander,http://en.wikipedia.org/wiki/Liam_Lawson
2023,leclerc,LEC,16,Charles,Leclerc,Charles Leclerc,1997-10-16,Monegasque,http://en.wikipedia.org/wiki/Charles_Leclerc
2023,kevin_magnussen,MAG,20,Kevin,Magnussen,Kevin Magnussen,1992-10-05,Danish,http://en.wikipedia.org/wiki/Kevin_Magnussen
2023,norris,NOR,1,Lando,Norris,Lando Norris,1999-11-13,British,http://en.wikipedia.org/wiki/Lando_Norris
2023,ocon,OCO,31,Esteban,Ocon,Esteban Ocon,1996-09-17,French,http://en.wikipedia.org/wiki/Esteban_Ocon
2023,piastri,PIA,81,Oscar,Piastri,Oscar Piastri,2001-04-06,Australian,http://en.wikipedia.org/wiki/Oscar_Piastri
2023,perez,PER,11,Sergio,Pérez,Sergio Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez
2023,ricciardo,RIC,3,Daniel,Ricciardo,Daniel Ricciardo,1989-07-01,Australian,http://en.wikipedia.org/wiki/Daniel_Ricciardo
2023,russell,RUS,63,George,Russell,George Russell,1998-02-15,British,http://en.wikipedia.org/wiki/George_Russell_(racing_driver)
2023,sainz,SAI,55,Carlos,Sainz,Carlos Sainz,1994-09-01,Spanish,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.
2023,sargeant,SAR,2,Logan,Sargeant,Logan Sargeant,2000-12-31,American,http://en.wikipedia.org/wiki/Logan_Sargeant
2023,stroll,STR,18,Lance,Stroll,Lance Stroll,1998-10-29,Canadian,http://en.wikipedia.org/wiki/Lance_Stroll
2023,tsunoda,TSU,22,Yuki,Tsunoda,Yuki Tsunoda,2000-05-11,Japanese,http://en.wikipedia.org/wiki/Yuki_Tsunoda
2023,max_verstappen,VER,3,Max,Verstappen,Max Verstappen,1997-09-30,Dutch,http://en.wikipedia.org/wiki/Max_Verstappen
2023,zhou,ZHO,24,Guanyu,Zhou,Guanyu Zhou,1999-05-30,Chinese,http://en.wikipedia.org/wiki/Zhou_Guanyu
2023,de_vries,DEV,21,Nyck,de Vries,Nyck de Vries,1995-02-06,Dutch,http://en.wikipedia.org/wiki/Nyck_de_Vries
2024,albon,ALB,23,Alexander,Albon,Alexander Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon
