season,round,race_id,lap_number,driver_id,position,lap_time
2025,1,2025_1,1,norris,1,1:57.099
2025,1,2025_1,1,max_verstappen,2,1:59.392
2025,1,2025_1,1,piastri,3,2:00.807
2025,1,2025_1,1,russell,4,2:04.644
2025,1,2025_1,1,leclerc,5,2:08.480
2025,1,2025_1,1,tsunoda,6,2:10.655
2025,1,2025_1,1,albon,7,2:12.195
2025,1,2025_1,1,hamilton,8,2:12.883
2025,1,2025_1,1,gasly,9,2:14.132
2025,1,2025_1,1,alonso,10,2:17.178
2025,1,2025_1,1,stroll,11,2:19.485
2025,1,2025_1,1,hulkenberg,12,2:21.221
2025,1,2025_1,1,antonelli,13,2:22.352
2025,1,2025_1,1,bortoleto,14,2:24.063
2025,1,2025_1,1,ocon,15,2:25.769
2025,1,2025_1,1,lawson,16,2:28.795
2025,1,2025_1,1,bearman,17,2:29.413
2025,1,2025_1,2,norris,1,2:49.888
2025,1,2025_1,2,max_verstappen,2,2:49.322
2025,1,2025_1,2,piastri,3,2:49.543
2025,1,2025_1,2,russell,4,2:48.126
2025,1,2025_1,2,leclerc,5,2:47.233
2025,1,2025_1,2,tsunoda,6,2:48.219
2025,1,2025_1,2,albon,7,2:48.864
2025,1,2025_1,2,hamilton,8,2:49.908
2025,1,2025_1,2,gasly,9,2:51.310
2025,1,2025_1,2,alonso,10,2:49.408
2025,1,2025_1,2,stroll,11,2:49.481
2025,1,2025_1,2,hulkenberg,12,2:49.398
2025,1,2025_1,2,antonelli,13,2:49.800
2025,1,2025_1,2,bortoleto,14,2:49.572
2025,1,2025_1,2,ocon,15,2:49.919
2025,1,2025_1,2,lawson,16,2:49.299
2025,1,2025_1,2,bearman,17,2:49.798
2025,1,2025_1,3,norris,1,2:41.723
2025,1,2025_1,3,max_verstappen,2,2:42.145
2025,1,2025_1,3,piastri,3,2:42.307
2025,1,2025_1,3,russell,4,2:42.437
2025,1,2025_1,3,leclerc,5,2:42.161
2025,1,2025_1,3,tsunoda,6,2:42.920
2025,1,2025_1,3,albon,7,2:43.623
2025,1,2025_1,3,hamilton,8,2:43.813
2025,1,2025_1,3,gasly,9,2:42.892
2025,1,2025_1,3,alonso,10,2:43.345
2025,1,2025_1,3,stroll,11,2:43.938
2025,1,2025_1,3,hulkenberg,12,2:44.223
2025,1,2025_1,3,antonelli,13,2:44.755
2025,1,2025_1,3,bortoleto,14,2:45.217
2025,1,2025_1,3,ocon,15,2:45.071
2025,1,2025_1,3,lawson,16,2:45.341
2025,1,2025_1,3,bearman,17,2:45.379
2025,1,2025_1,4,norris,1,2:36.053
2025,1,2025_1,4,max_verstappen,2,2:35.775
2025,1,2025_1,4,piastri,3,2:35.725
2025,1,2025_1,4,russell,4,2:36.507
2025,1,2025_1,4,leclerc,5,2:35.802
2025,1,2025_1,4,tsunoda,6,2:35.195
2025,1,2025_1,4,albon,7,2:34.281
2025,1,2025_1,4,hamilton,8,2:34.100
2025,1,2025_1,4,gasly,9,2:34.589
2025,1,2025_1,4,alonso,10,2:34.706
2025,1,2025_1,4,stroll,11,2:34.871
2025,1,2025_1,4,hulkenberg,12,2:35.137
2025,1,2025_1,4,antonelli,13,2:34.598
2025,1,2025_1,4,bortoleto,14,2:34.822
2025,1,2025_1,4,ocon,15,2:42.192
2025,1,2025_1,4,lawson,16,2:40.393
2025,1,2025_1,4,bearman,17,2:45.744
2025,1,2025_1,5,norris,1,2:23.648
2025,1,2025_1,5,max_verstappen,2,2:23.609
2025,1,2025_1,5,piastri,3,2:23.155
2025,1,2025_1,5,russell,4,2:21.712
2025,1,2025_1,5,leclerc,5,2:22.597
2025,1,2025_1,5,tsunoda,6,2:21.441
2025,1,2025_1,5,albon,7,2:22.084
2025,1,2025_1,5,hamilton,8,2:21.772
2025,1,2025_1,5,gasly,9,2:21.360
2025,1,2025_1,5,alonso,10,2:22.181
2025,1,2025_1,5,stroll,11,2:20.409
2025,1,2025_1,5,hulkenberg,12,2:19.058
2025,1,2025_1,5,antonelli,13,2:19.163
2025,1,2025_1,5,bortoleto,14,2:18.316
2025,1,2025_1,5,ocon,15,2:10.528
2025,1,2025_1,5,lawson,16,2:11.293
2025,1,2025_1,5,bearman,17,2:05.412
2025,1,2025_1,6,norris,1,2:20.423
2025,1,2025_1,6,max_verstappen,2,2:19.654
2025,1,2025_1,6,piastri,3,2:19.873
2025,1,2025_1,6,russell,4,2:19.485
2025,1,2025_1,6,leclerc,5,2:18.850
2025,1,2025_1,6,tsunoda,6,2:19.381
2025,1,2025_1,6,albon,7,2:19.612
2025,1,2025_1,6,hamilton,8,2:20.418
2025,1,2025_1,6,gasly,9,2:19.952
2025,1,2025_1,6,alonso,10,2:19.493
2025,1,2025_1,6,stroll,11,2:20.973
2025,1,2025_1,6,hulkenberg,12,2:21.111
2025,1,2025_1,6,antonelli,13,2:21.111
2025,1,2025_1,6,bortoleto,14,2:20.976
2025,1,2025_1,6,ocon,15,2:20.986
2025,1,2025_1,6,lawson,16,2:21.609
2025,1,2025_1,6,bearman,17,2:22.075
2025,1,2025_1,7,norris,1,2:17.108
2025,1,2025_1,7,max_verstappen,2,2:16.447
2025,1,2025_1,7,piastri,3,2:15.569
2025,1,2025_1,7,russell,4,2:14.684
2025,1,2025_1,7,leclerc,5,2:13.209
2025,1,2025_1,7,tsunoda,6,2:11.451
2025,1,2025_1,7,albon,7,2:09.065
2025,1,2025_1,7,hamilton,8,2:07.498
2025,1,2025_1,7,gasly,9,2:06.733
2025,1,2025_1,7,alonso,10,2:05.594
2025,1,2025_1,7,stroll,11,2:04.687
2025,1,2025_1,7,hulkenberg,12,2:04.116
2025,1,2025_1,7,antonelli,13,2:03.412
2025,1,2025_1,7,bortoleto,14,2:03.467
2025,1,2025_1,7,ocon,15,2:03.018
2025,1,2025_1,7,lawson,16,2:02.216
2025,1,2025_1,7,bearman,17,2:02.192
