season,round,race_id,driver_id,stop_number,lap,time,duration,milliseconds
2025,1,2025_1,norris,1,2,15:22:58,13.341,
2025,1,2025_1,max_verstappen,1,2,15:23:00,13.416,
2025,1,2025_1,piastri,1,2,15:23:02,13.078,
2025,1,2025_1,russell,1,2,15:23:03,13.672,
2025,1,2025_1,leclerc,1,2,15:23:06,14.182,
2025,1,2025_1,tsunoda,1,2,15:23:08,14.957,
2025,1,2025_1,albon,1,2,15:23:10,15.020,
2025,1,2025_1,hamilton,1,2,15:23:13,15.002,
2025,1,2025_1,gasly,1,2,15:23:15,15.104,
2025,1,2025_1,alonso,1,2,15:23:16,15.535,
2025,1,2025_1,stroll,1,2,15:23:19,15.505,
2025,1,2025_1,hulkenberg,1,2,15:23:21,15.130,
2025,1,2025_1,antonelli,1,2,15:23:23,14.658,
2025,1,2025_1,bortoleto,1,2,15:23:25,14.432,
2025,1,2025_1,ocon,1,2,15:23:27,14.395,
2025,1,2025_1,lawson,1,2,15:23:29,14.790,
2025,1,2025_1,bearman,1,2,15:23:30,14.605,
2025,1,2025_1,norris,2,3,15:25:40,12.910,
2025,1,2025_1,max_verstappen,2,3,15:25:42,13.740,
2025,1,2025_1,piastri,2,3,15:25:43,13.838,
2025,1,2025_1,russell,2,3,15:25:45,14.104,
2025,1,2025_1,leclerc,2,3,15:25:48,14.621,
2025,1,2025_1,tsunoda,2,3,15:25:51,15.223,
2025,1,2025_1,albon,2,3,15:25:53,16.993,
2025,1,2025_1,hamilton,2,3,15:25:56,16.191,
2025,1,2025_1,gasly,2,3,15:25:58,15.744,
2025,1,2025_1,alonso,2,3,15:25:59,16.241,
2025,1,2025_1,stroll,2,3,15:26:02,16.014,
2025,1,2025_1,hulkenberg,2,3,15:26:03,15.971,
2025,1,2025_1,antonelli,2,3,15:26:05,16.374,
2025,1,2025_1,bortoleto,2,3,15:26:07,16.363,
2025,1,2025_1,ocon,2,3,15:26:09,16.477,
2025,1,2025_1,lawson,2,3,15:26:12,16.309,
2025,1,2025_1,bearman,2,3,15:26:13,16.347,
2025,1,2025_1,norris,3,4,15:28:16,12.804,
2025,1,2025_1,max_verstappen,3,4,15:28:18,12.938,
2025,1,2025_1,piastri,3,4,15:28:20,12.816,
2025,1,2025_1,russell,3,4,15:28:22,13.696,
2025,1,2025_1,leclerc,3,4,15:28:24,14.129,
2025,1,2025_1,tsunoda,3,4,15:28:28,13.605,
2025,1,2025_1,albon,3,4,15:28:29,14.285,
2025,1,2025_1,hamilton,3,4,15:28:31,14.789,
2025,1,2025_1,gasly,3,4,15:28:34,14.710,
2025,1,2025_1,alonso,3,4,15:28:36,15.034,
2025,1,2025_1,stroll,3,4,15:28:39,14.451,
2025,1,2025_1,hulkenberg,3,4,15:28:41,14.198,
2025,1,2025_1,antonelli,3,4,15:28:43,13.975,
2025,1,2025_1,bortoleto,3,4,15:28:45,14.206,
2025,1,2025_1,ocon,3,4,15:28:48,19.649,
2025,1,2025_1,lawson,3,4,15:28:49,18.880,
2025,1,2025_1,bearman,3,4,15:28:52,22.494,
2025,1,2025_1,tsunoda,4,33,16:15:35,18.997,
2025,1,2025_1,albon,4,33,16:15:36,18.573,
2025,1,2025_1,hamilton,4,33,16:15:38,18.526,
2025,1,2025_1,gasly,4,33,16:15:40,19.589,
2025,1,2025_1,antonelli,4,33,16:15:45,18.912,
2025,1,2025_1,stroll,4,33,16:16:06,18.802,
2025,1,2025_1,hulkenberg,4,33,16:16:15,21.123,
2025,1,2025_1,bortoleto,4,33,16:16:21,24.073,
2025,1,2025_1,norris,4,34,16:16:22,18.464,
2025,1,2025_1,piastri,4,34,16:16:29,19.719,
2025,1,2025_1,lawson,4,33,16:16:32,20.067,
2025,1,2025_1,max_verstappen,4,34,16:16:46,18.700,
2025,1,2025_1,russell,4,34,16:17:08,19.125,
2025,1,2025_1,leclerc,4,34,16:17:17,18.154,
2025,1,2025_1,ocon,4,39,16:29:59,18.778,
2025,1,2025_1,bearman,4,39,16:30:04,22.441,
2025,1,2025_1,norris,5,44,16:36:55,18.031,
2025,1,2025_1,russell,5,44,16:37:02,19.378,
2025,1,2025_1,albon,5,44,16:37:03,18.952,
2025,1,2025_1,antonelli,5,44,16:37:06,21.946,
2025,1,2025_1,stroll,5,44,16:37:07,18.901,
2025,1,2025_1,hulkenberg,5,44,16:37:08,20.209,
2025,1,2025_1,bortoleto,5,44,16:37:17,26.214,
2025,1,2025_1,piastri,5,44,16:38:21,19.850,
2025,1,2025_1,bearman,5,44,16:38:32,19.370,
2025,1,2025_1,max_verstappen,5,46,16:40:05,18.721,
2025,1,2025_1,gasly,5,46,16:40:17,19.482,
2025,1,2025_1,ocon,5,46,16:41:36,19.858,
2025,1,2025_1,hamilton,5,47,16:42:26,20.802,
2025,1,2025_1,leclerc,5,47,16:42:28,24.528,
2025,1,2025_1,tsunoda,5,47,16:42:35,19.312,
2025,2,2025_2,bortoleto,1,1,15:05:40,23.385,
2025,2,2025_2,gasly,1,10,15:20:20,23.138,
2025,2,2025_2,tsunoda,1,11,15:21:55,22.519,
2025,2,2025_2,ocon,1,11,15:21:57,23.114,
2025,2,2025_2,doohan,1,11,15:22:03,22.793,
2025,2,2025_2,antonelli,1,12,15:23:33,22.675,
2025,2,2025_2,hadjar,1,12,15:23:35,22.896,
2025,2,2025_2,hamilton,1,13,15:25:02,22.388,
2025,2,2025_2,max_verstappen,1,13,15:25:08,22.454,
2025,2,2025_2,piastri,1,14,15:26:32,23.938,
2025,2,2025_2,russell,1,14,15:26:38,22.324,
2025,2,2025_2,norris,1,15,15:28:14,22.213,
2025,2,2025_2,leclerc,1,15,15:28:19,22.151,
2025,2,2025_2,sainz,1,17,15:31:57,22.721,
2025,2,2025_2,lawson,1,18,15:33:41,22.536,
2025,2,2025_2,albon,1,20,15:36:47,23.362,
2025,2,2025_2,hulkenberg,1,20,15:37:16,22.959,
2025,2,2025_2,bearman,1,26,15:46:48,22.808,
2025,2,2025_2,bortoleto,2,26,15:47:23,22.790,
2025,2,2025_2,lawson,2,30,15:53:39,22.355,
2025,2,2025_2,hadjar,2,33,15:58:23,22.234,
2025,2,2025_2,tsunoda,2,35,16:01:33,22.583,
2025,2,2025_2,stroll,1,36,16:03:08,22.995,
2025,2,2025_2,hamilton,2,37,16:04:25,22.364,
2025,2,2025_2,tsunoda,3,46,16:19:46,38.102,
2025,3,2025_3,stroll,1,9,14:18:18,23.724,
2025,3,2025_3,doohan,1,15,14:27:46,23.382,
2025,3,2025_3,russell,1,19,14:33:35,23.184,
2025,3,2025_3,piastri,1,20,14:35:03,23.037,
2025,3,2025_3,max_verstappen,1,21,14:36:32,24.397,
2025,3,2025_3,norris,1,21,14:36:33,23.222,
2025,3,2025_3,leclerc,1,21,14:36:40,23.346,
2025,3,2025_3,hulkenberg,1,22,14:38:44,23.515,
2025,3,2025_3,bearman,1,23,14:40:07,24.834,
2025,3,2025_3,tsunoda,1,23,14:40:13,24.181,
2025,3,2025_3,albon,1,24,14:41:36,23.093,
2025,3,2025_3,alonso,1,24,14:41:45,25.708,
2025,3,2025_3,gasly,1,24,14:41:48,26.041,
2025,3,2025_3,hadjar,1,25,14:43:05,23.333,
2025,3,2025_3,hamilton,1,30,14:50:48,22.937,
2025,3,2025_3,stroll,2,30,14:51:42,23.608,
2025,3,2025_3,antonelli,1,31,14:52:16,24.380,
2025,3,2025_3,bortoleto,1,31,14:52:58,23.419,
2025,3,2025_3,ocon,1,32,14:54:29,24.464,
2025,3,2025_3,lawson,1,33,14:56:01,23.662,
2025,3,2025_3,sainz,1,33,14:56:03,23.337,
2025,4,2025_4,hulkenberg,1,5,18:12:19,24.229,
2025,4,2025_4,hadjar,1,6,18:13:56,25.265,
2025,4,2025_4,ocon,1,8,18:17:10,24.876,
2025,4,2025_4,doohan,1,9,18:18:50,24.791,
2025,4,2025_4,norris,1,10,18:20:17,29.822,
2025,4,2025_4,gasly,1,10,18:20:24,25.033,
2025,4,2025_4,max_verstappen,1,10,18:20:25,26.518,
2025,4,2025_4,tsunoda,1,11,18:22:08,26.493,
2025,4,2025_4,antonelli,1,12,18:23:41,24.807,
2025,4,2025_4,stroll,1,12,18:23:59,24.611,
2025,4,2025_4,russell,1,13,18:25:13,24.044,
2025,4,2025_4,bortoleto,1,13,18:25:42,24.143,
2025,4,2025_4,piastri,1,14,18:26:48,24.498,
2025,4,2025_4,sainz,1,14,18:27:10,24.600,
2025,4,2025_4,bearman,1,14,18:27:13,24.562,
2025,4,2025_4,lawson,1,14,18:27:19,25.242,
2025,4,2025_4,albon,1,16,18:30:32,25.394,
2025,4,2025_4,alonso,1,16,18:30:38,24.826,
2025,4,2025_4,leclerc,1,17,18:31:51,24.802,
2025,4,2025_4,hamilton,1,17,18:32:01,24.340,
2025,4,2025_4,max_verstappen,2,26,18:47:10,28.067,
2025,4,2025_4,ocon,2,27,18:48:45,24.832,
2025,4,2025_4,antonelli,2,27,18:48:46,24.506,
2025,4,2025_4,hulkenberg,2,27,18:49:07,24.291,
2025,4,2025_4,gasly,2,28,18:50:18,24.958,
2025,4,2025_4,doohan,2,28,18:50:30,25.093,
2025,4,2025_4,hadjar,2,28,18:50:42,24.640,
2025,4,2025_4,piastri,2,32,18:56:38,24.900,
2025,4,2025_4,russell,2,32,18:56:48,24.100,
2025,4,2025_4,leclerc,2,32,18:56:49,24.241,
2025,4,2025_4,norris,2,32,18:56:52,24.035,
2025,4,2025_4,hamilton,2,32,18:57:05,24.350,
2025,4,2025_4,sainz,2,32,18:57:31,24.315,
2025,4,2025_4,tsunoda,2,32,18:57:32,24.771,
2025,4,2025_4,albon,2,32,18:57:37,25.990,
2025,4,2025_4,bearman,2,32,18:57:37,24.895,
2025,4,2025_4,antonelli,3,32,18:57:41,24.693,
2025,4,2025_4,alonso,2,32,18:57:44,24.846,
2025,4,2025_4,lawson,2,32,18:57:56,24.191,
2025,4,2025_4,stroll,2,32,18:57:57,24.592,
2025,4,2025_4,bortoleto,2,32,18:58:04,25.396,
2025,4,2025_4,sainz,3,44,19:19:11,37.116,
2025,5,2025_5,doohan,1,1,20:06:22,20.571,
2025,5,2025_5,ocon,1,1,20:06:23,21.512,
2025,5,2025_5,bortoleto,1,1,20:06:24,21.854,
2025,5,2025_5,bearman,1,18,20:35:43,22.095,
2025,5,2025_5,piastri,1,19,20:36:44,21.388,
2025,5,2025_5,antonelli,1,19,20:36:59,20.399,
2025,5,2025_5,alonso,1,19,20:37:16,21.891,
2025,5,2025_5,russell,1,20,20:38:24,20.329,
2025,5,2025_5,lawson,1,20,20:38:49,20.534,
2025,5,2025_5,max_verstappen,1,21,20:39:49,26.030,
2025,5,2025_5,sainz,1,21,20:40:17,24.148,
2025,5,2025_5,albon,1,22,20:41:56,22.135,
2025,5,2025_5,hamilton,1,23,20:43:22,20.144,
2025,5,2025_5,leclerc,1,29,20:52:29,20.131,
2025,5,2025_5,doohan,2,32,20:58:15,21.521,
2025,5,2025_5,hulkenberg,1,33,20:59:42,20.441,
2025,5,2025_5,norris,1,34,21:00:17,20.427,
2025,5,2025_5,hadjar,1,34,21:00:52,20.827,
2025,5,2025_5,stroll,1,39,21:09:12,20.487,
2025,6,2025_6,bortoleto,1,19,16:34:21,22.188,
2025,6,2025_6,stroll,1,20,16:35:58,22.317,
2025,6,2025_6,hadjar,1,22,16:38:57,22.115,
2025,6,2025_6,ocon,1,23,16:40:29,23.162,
2025,6,2025_6,antonelli,1,25,16:43:18,24.383,
2025,6,2025_6,sainz,1,25,16:43:24,22.415,
2025,6,2025_6,max_verstappen,1,26,16:44:48,22.501,
2025,6,2025_6,albon,1,26,16:44:52,21.906,
2025,6,2025_6,tsunoda,1,27,16:46:33,22.560,
2025,6,2025_6,hamilton,1,28,16:48:14,23.104,
2025,6,2025_6,alonso,1,28,16:48:38,23.602,
2025,6,2025_6,lawson,1,28,16:49:13,22.439,
2025,6,2025_6,piastri,1,29,16:49:28,22.106,
2025,6,2025_6,norris,1,29,16:49:39,22.044,
2025,6,2025_6,russell,1,29,16:49:59,24.257,
2025,6,2025_6,leclerc,1,29,16:50:09,22.183,
2025,6,2025_6,gasly,1,32,16:55:15,22.060,
2025,6,2025_6,hulkenberg,1,36,17:01:48,22.108,
2025,7,2025_7,ocon,1,1,15:05:04,30.506,
