season,round,race_id,race_name,race_date,race_time,circuit_id,circuit_name,locality,country,lat,long
2023,1,2023_1,Bahrain Grand Prix,2023-03-05,15:00:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
2023,2,2023_2,Saudi Arabian Grand Prix,2023-03-19,17:00:00Z,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044
2023,3,2023_3,Australian Grand Prix,2023-04-02,05:00:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
2023,4,2023_4,Azerbaijan Grand Prix,2023-04-30,11:00:00Z,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533
2023,5,2023_5,Miami Grand Prix,2023-05-07,19:30:00Z,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389
2023,6,2023_6,Monaco Grand Prix,2023-05-28,13:00:00Z,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056
2023,7,2023_7,Spanish Grand Prix,2023-06-04,13:00:00Z,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111
2023,8,2023_8,Canadian Grand Prix,2023-06-18,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
2023,9,2023_9,Austrian Grand Prix,2023-07-02,13:00:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
2023,10,2023_10,British Grand Prix,2023-07-09,14:00:00Z,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
2023,11,2023_11,Hungarian Grand Prix,2023-07-23,13:00:00Z,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
2023,12,2023_12,Belgian Grand Prix,2023-07-30,13:00:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
2023,13,2023_13,Dutch Grand Prix,2023-08-27,13:00:00Z,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
2023,14,2023_14,Italian Grand Prix,2023-09-03,13:00:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
2023,15,2023_15,Singapore Grand Prix,2023-09-17,12:00:00Z,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864
2023,16,2023_16,Japanese Grand Prix,2023-09-24,05:00:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
2023,17,2023_17,Qatar Grand Prix,2023-10-08,17:00:00Z,losail,Losail International Circuit,Lusail,Qatar,25.49,51.4542
2023,18,2023_18,United States Grand Prix,2023-10-22,19:00:00Z,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411
2023,19,2023_19,Mexico City Grand Prix,2023-10-29,20:00:00Z,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
2023,20,2023_20,São Paulo Grand Prix,2023-11-05,17:00:00Z,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
2023,21,2023_21,Las Vegas Grand Prix,2023-11-19,06:00:00Z,vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173
2023,22,2023_22,Abu Dhabi Grand Prix,2023-11-26,13:00:00Z,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
2024,1,2024_1,Bahrain Grand Prix,2024-03-02,15:00:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
2024,2,2024_2,Saudi Arabian Grand Prix,2024-03-09,17:00:00Z,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044
2024,3,2024_3,Australian Grand Prix,2024-03-24,04:00:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
2024,4,2024_4,Japanese Grand Prix,2024-04-07,05:00:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
2024,5,2024_5,Chinese Grand Prix,2024-04-21,07:00:00Z,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22
2024,6,2024_6,Miami Grand Prix,2024-05-05,20:00:00Z,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389
2024,7,2024_7,Emilia Romagna Grand Prix,2024-05-19,13:00:00Z,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
2024,8,2024_8,Monaco Grand Prix,2024-05-26,13:00:00Z,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056
2024,9,2024_9,Canadian Grand Prix,2024-06-09,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
