iter	Logloss
0	0.6853279937
1	0.6782724629
2	0.6723999525
3	0.667159375
4	0.6624376604
5	0.6583412819
6	0.6558473814
7	0.6537252886
8	0.6515526362
9	0.6478161497
10	0.6444854137
11	0.6425587216
12	0.6404983986
13	0.6382703044
14	0.6363400689
15	0.6347345486
16	0.6329386935
17	0.6314034858
18	0.6301277209
19	0.6284498729
20	0.6271022299
21	0.6257366813
22	0.624676178
23	0.6235514089
24	0.6217015641
25	0.6207356989
26	0.6198595051
27	0.6187079834
28	0.6174852256
29	0.6160036231
30	0.614959626
31	0.6139107845
32	0.6131395809
33	0.6125283162
34	0.6117065526
35	0.6103044228
36	0.609247992
37	0.6082653343
38	0.6074819342
39	0.6067918011
40	0.6058549078
41	0.604550421
42	0.6033120823
43	0.6025579526
44	0.6021118186
45	0.6012024625
46	0.6000386827
47	0.5992557146
48	0.5987829205
49	0.5973566156
50	0.5959349883
51	0.5948033641
52	0.5945087096
53	0.5940132324
54	0.5933592777
55	0.5930996325
56	0.5924347121
57	0.5919161371
58	0.591046101
59	0.5906792142
60	0.5895204577
61	0.5887523241
62	0.5883564979
63	0.5877208599
64	0.5872377111
65	0.5869170883
66	0.5863108989
67	0.5855906768
68	0.585285429
69	0.5851188127
70	0.584918584
71	0.584283749
72	0.5838610729
73	0.5828396675
74	0.5820967298
75	0.5812114473
76	0.5810848972
77	0.5803706555
78	0.579691409
79	0.5793620707
80	0.5791991006
81	0.5788431355
82	0.5772319925
83	0.5769173232
84	0.5766582588
85	0.5763739357
86	0.5761385869
87	0.5755638304
88	0.575145637
89	0.5750003119
90	0.574173868
91	0.5739750009
92	0.5736710001
93	0.5733681051
94	0.5728984347
95	0.5727330762
96	0.5718350516
97	0.5709430213
98	0.5703477503
99	0.5702364679
100	0.5697875576
101	0.5693753717
102	0.5690842619
103	0.5675731817
104	0.5668566059
105	0.5665584176
106	0.5663985745
107	0.565925509
108	0.5657425732
109	0.5650649093
110	0.5648828651
111	0.5647736355
112	0.5645188414
113	0.5643976135
114	0.5639821984
115	0.5629052962
116	0.5622714449
117	0.5620853909
118	0.5620115336
119	0.5617064924
120	0.5612339487
121	0.5608377501
122	0.5602365043
123	0.5598531286
124	0.5597682104
125	0.5594086741
126	0.559094377
127	0.5585655101
128	0.5583943152
129	0.5582539403
130	0.5578083731
131	0.5574861237
132	0.5569501506
133	0.5566746315
134	0.5563385473
135	0.5562135477
136	0.5560528124
137	0.5556703704
138	0.5548389984
139	0.5545118286
140	0.5544380129
141	0.5542622397
142	0.5538777297
143	0.5534803314
144	0.5533456122
