iter	Passed	Remaining
0	173	86566
1	203	50773
2	233	38663
3	266	33020
4	301	29804
5	332	27390
6	364	25702
7	394	24279
8	427	23317
9	488	23913
10	649	28875
11	815	33143
12	1040	38977
13	1281	44492
14	1532	49555
15	1667	50442
16	1816	51599
17	1952	52292
18	2128	53893
19	2283	54806
20	2485	56689
21	2637	57313
22	2805	58188
23	2955	58626
24	3140	59669
25	3306	60279
26	3471	60810
27	3617	60979
28	3772	61277
29	3939	61711
30	4118	62314
31	4255	62238
32	4467	63225
33	4617	63284
34	4823	64082
35	4999	64434
36	5122	64101
37	5325	64751
38	5488	64882
39	5674	65252
40	5891	65960
41	6069	66188
42	6249	66416
43	6429	66637
44	6570	66439
45	6739	66516
46	6881	66326
47	7071	66589
48	7211	66379
49	7418	66764
50	7562	66577
51	7710	66431
52	7875	66421
53	8070	66653
54	8258	66817
55	8442	66933
56	8637	67130
57	8767	66811
58	8930	66752
59	9118	66870
60	9243	66521
61	9402	66426
62	9522	66056
63	9658	65800
64	9830	65788
65	10007	65810
66	10203	65945
67	10374	65911
68	10531	65785
69	10665	65518
70	10841	65505
71	10983	65293
72	11139	65155
73	11314	65134
74	11491	65120
75	11623	64848
76	11805	64851
77	11989	64868
78	12203	65035
79	12406	65134
80	12577	65062
81	12784	65167
82	13007	65350
83	13252	65632
84	13416	65503
85	13546	65210
86	13684	64961
87	13913	65142
88	14095	65092
89	14146	64446
90	14188	63768
91	14223	63079
92	14256	62392
93	14292	61732
94	14325	61070
95	14362	60440
96	14394	59805
97	14433	59207
98	14469	58607
99	14504	58016
100	14536	57427
101	14575	56873
102	14610	56313
103	14651	55786
104	14684	55243
105	14721	54718
106	14757	54202
107	14790	53685
108	14824	53176
109	14855	52668
110	14888	52177
111	14921	51692
112	14954	51216
113	14986	50744
114	15022	50292
115	15055	49839
116	15088	49391
117	15120	48947
118	15151	48509
119	15185	48086
120	15217	47665
121	15250	47253
122	15283	46845
123	15314	46438
124	15346	46039
125	15379	45649
126	15409	45258
127	15443	44881
128	15476	44510
129	15509	44143
130	15543	43783
131	15578	43430
132	15610	43074
133	15641	42722
134	15674	42379
135	15706	42037
136	15737	41699
137	15769	41366
138	15802	41040
139	15832	40711
140	15864	40392
141	15896	40076
142	15929	39769
143	15960	39458
144	15992	39153
145	16025	38857
146	16059	38563
147	16091	38270
148	16125	37986
149	16156	37698
150	16187	37413
151	16220	37135
152	16254	36864
153	16285	36590
154	16318	36321
155	16352	36060
156	16381	35789
157	16413	35528
158	16445	35270
159	16478	35016
160	16510	34764
161	16541	34512
162	16571	34261
163	16604	34019
164	16638	33781
165	16670	33541
166	16702	33304
167	16735	33071
168	16768	32842
169	16798	32608
170	16830	32382
171	16862	32155
172	16894	31932
173	16922	31705
174	16955	31488
175	16984	31267
176	17016	31051
177	17044	30833
178	17073	30618
179	17103	30406
